Date,Open,High,Low,Close,Volume
12/1/2021,140.51,140.72,137.04,137.14,"12,229,044"
12/2/2021,137.63,138.44,135.24,135.47,"13,268,560"
12/3/2021,135.86,137.88,135.29,137.51,"14,714,199"
12/6/2021,137.56,139.36,137.1,139,"10,863,131"
12/7/2021,139.6,139.83,138.09,138.55,"12,579,666"
12/8/2021,138.06,138.5,136.01,137.15,"11,498,754"
12/9/2021,136.63,138.57,135.71,138.5,"10,783,902"
12/10/2021,138.34,141.3,137.57,141.03,"12,858,541"
12/13/2021,140.24,143.75,140.01,143.57,"18,013,121"
12/14/2021,143.3,145.28,142.15,144.94,"15,573,758"
12/15/2021,145.21,146.47,143.4,145.77,"11,163,306"
12/16/2021,145.77,146.53,142.89,143.34,"13,023,160"
12/17/2021,142.75,143.95,138.39,138.75,"26,237,273"
12/20/2021,138.12,139.75,137.6,139.2,"10,339,293"
12/21/2021,138.9,139.86,138.01,139.62,"8,206,812"
12/22/2021,139.9,139.99,138.53,139.8,"5,675,950"
12/23/2021,139.8,140.16,138.85,139.49,"5,864,216"
12/27/2021,139.6,140.87,139.57,140.76,"5,351,125"
12/28/2021,140.6,142.97,140.6,142.78,"5,263,016"
12/29/2021,142.66,143.53,142.32,142.71,"4,348,420"
12/30/2021,143.26,143.7,142.48,143.17,"4,982,997"
12/31/2021,143.2,145.04,142.92,144.69,"5,982,595"
1/3/2022,144,144.79,143.01,144.65,"6,903,262"
1/4/2022,144.04,145.14,141.76,142,"11,310,011"
1/5/2022,142.85,145.95,142.74,143.92,"11,805,971"
1/6/2022,143.62,144.64,142.4,143.52,"7,276,277"
1/7/2022,143.5,145.36,142.96,144.89,"6,574,530"
1/10/2022,145.44,145.59,143.12,144.61,"7,577,189"
1/11/2022,144.21,144.62,143.18,144.2,"7,222,905"
1/12/2022,143.68,143.96,143,143.44,"6,315,605"
1/13/2022,143.43,145.68,143.11,145.47,"8,084,198"
1/14/2022,144.22,146.63,144.22,145.06,"8,955,786"
1/18/2022,144.41,144.7,142.13,142.52,"7,044,918"
1/19/2022,142.54,144.99,141.92,143.94,"7,557,994"
1/20/2022,142.35,144.46,141.07,141.22,"7,462,375"
1/21/2022,141.22,142.26,140.06,140.19,"9,169,392"
1/24/2022,139.07,140.53,137.31,140.2,"9,570,458"
1/25/2022,139.99,140.37,136.81,137.15,"9,826,478"
1/26/2022,137.34,138.79,135.16,135.75,"8,728,497"
1/27/2022,136.92,139.08,135.37,135.84,"9,261,266"
1/28/2022,136,137.57,133.95,137.52,"8,377,341"
1/31/2022,137.09,140.04,136.7,139.81,"6,731,158"
2/1/2022,139.21,141.15,138.99,140.91,"6,774,366"
2/2/2022,141,141.64,140.15,140.85,"6,049,927"
2/3/2022,140.26,141.99,139.77,140.99,"6,913,734"
2/4/2022,140.89,141,138.35,139.33,"7,345,507"
2/7/2022,140.06,140.07,137.61,137.96,"6,670,120"
2/8/2022,138.32,139.24,137.51,137.99,"6,486,293"
2/9/2022,138.5,138.79,137.47,137.69,"7,157,923"
2/10/2022,136.55,137.01,135.46,136.08,"9,270,199"
2/11/2022,136.82,137.18,134.17,135.33,"7,911,135"
2/14/2022,135.33,135.96,132.71,133.95,"9,787,836"
2/15/2022,134.74,135.67,133.79,134.37,"7,282,849"
2/16/2022,134.33,134.88,132.7,133.53,"9,496,862"
2/17/2022,134,139.47,133.78,138.88,"17,943,846"
2/18/2022,138.1,139.59,137.16,137.99,"10,367,817"
2/22/2022,137.77,138.24,135.94,136.45,"8,460,309"
2/23/2022,136.86,137.19,134.84,135.05,"7,010,313"
2/24/2022,133.91,135.01,132.01,134.53,"10,572,482"
2/25/2022,134.81,136.78,134.09,136.38,"8,332,590"
2/28/2022,135,136.07,133.77,135.16,"8,762,227"
3/1/2022,135.87,137.89,135.02,135.99,"8,008,347"
3/2/2022,135.66,136.83,135.18,136.16,"7,954,751"
3/3/2022,137.29,140.47,136.55,139.29,"9,961,736"
3/4/2022,137.81,142.94,137.59,142.82,"11,860,222"
3/7/2022,141.3,143.63,140.45,141.67,"15,290,027"
3/8/2022,141.5,142.46,138.58,138.74,"9,435,176"
3/9/2022,140,140.24,138.14,139.46,"7,374,312"
3/10/2022,139.49,143,139.01,142.63,"9,170,929"
3/11/2022,142.3,144.05,141.88,142.07,"6,387,420"
3/14/2022,142.02,144.85,141.99,144.05,"7,548,765"
3/15/2022,144.53,146.15,143.85,145.78,"7,624,161"
3/16/2022,145.39,146.94,143.7,145.35,"8,205,319"
3/17/2022,144.45,145.3,142.65,145.01,"6,341,006"
3/18/2022,145.18,145.57,144.11,145.44,"10,411,143"
3/21/2022,145.43,147.29,143.62,144.23,"7,116,876"
3/22/2022,144.61,144.97,142.98,143.8,"6,745,041"
3/23/2022,143.14,143.73,141.52,141.95,"6,541,845"
3/24/2022,142.39,143.91,141.88,142.83,"4,480,295"
3/25/2022,143.45,143.93,142.26,143.45,"4,696,082"
3/28/2022,143.5,146.06,143.3,146,"6,701,881"
3/29/2022,146.6,148.1,146.25,147.23,"6,644,813"
